table	source_index	columns	unique	partial	disposition	target_evidence
content_blocks	content_blocks_parent_idx	parent_block_id	0	0	retain named index	CREATE INDEX `content_blocks_parent_idx` ON `content_blocks` (`parent_block_id`)
content_blocks	content_blocks_document_position_idx	document_id,position	0	0	retain named index	CREATE INDEX `content_blocks_document_position_idx` ON `content_blocks` (`document_id`,`position`)
content_blocks	sqlite_autoindex_content_blocks_1	id	1	0	retain named index	
content_documents	content_documents_owner_unique	owner_type,owner_id	1	0	retain named index	CREATE UNIQUE INDEX `content_documents_owner_unique` ON `content_documents` (`owner_type`,`owner_id`)
content_documents	sqlite_autoindex_content_documents_1	id	1	0	retain named index	
customers	idx_customers_user_id	user_id	0	0	retain named index	CREATE INDEX `idx_customers_user_id` ON `customers` (`user_id`)
customers	idx_customers_org_site_email_hash	organization_id,site_id,email_hash	0	0	retain named index	CREATE INDEX `idx_customers_org_site_email_hash` ON `customers` (`organization_id`,`site_id`,`email_hash`)
customers	idx_customers_site_id	site_id	0	0	retain named index	CREATE INDEX `idx_customers_site_id` ON `customers` (`site_id`)
customers	idx_customers_organization_id	organization_id	0	0	remove redundant prefix index	CREATE INDEX `idx_customers_org_site_email_hash` ON `customers` (`organization_id`,`site_id`,`email_hash`)
customers	idx_customers_stripe_customer_id_unique	stripe_customer_id	1	1	retain named index	CREATE UNIQUE INDEX `idx_customers_stripe_customer_id_unique` ON `customers` (`stripe_customer_id`) WHERE stripe_customer_id IS NOT NULL
customers	idx_customers_site_email_normalized_unique	site_id,email_normalized	1	1	retain named index	CREATE UNIQUE INDEX `idx_customers_site_email_normalized_unique` ON `customers` (`site_id`,`email_normalized`) WHERE email_normalized IS NOT NULL
customers	sqlite_autoindex_customers_1	id	1	0	retain named index	
dashboard_preferences	dashboard_preferences_user_id_organization_id_unique	user_id,organization_id	1	0	remove with retired table	user_id,organization_id
dashboard_preferences	sqlite_autoindex_dashboard_preferences_1	id	1	0	remove with retired table	id
domain_reconciliation_jobs	idx_domain_reconciliation_jobs_due	status,run_after	0	0	retain named index	CREATE INDEX `idx_domain_reconciliation_jobs_due` ON `domain_reconciliation_jobs` (`status`,`run_after`)
domain_reconciliation_jobs	domain_reconciliation_jobs_domain_id_unique	domain_id	1	0	retain named index	CREATE UNIQUE INDEX `domain_reconciliation_jobs_domain_id_unique` ON `domain_reconciliation_jobs` (`domain_id`)
domain_reconciliation_jobs	sqlite_autoindex_domain_reconciliation_jobs_1	id	1	0	retain named index	
experience_bookings	experience_bookings_organization_id_idx	organization_id	0	0	retain named index	CREATE INDEX `experience_bookings_organization_id_idx` ON `experience_bookings` (`organization_id`)
experience_bookings	experience_bookings_site_date_owner_slot_idx	site_id,booking_date,experience_id,time_slot,status	0	0	retain named index	CREATE INDEX `experience_bookings_site_date_owner_slot_idx` ON `experience_bookings` (`site_id`,`booking_date`,`experience_id`,`time_slot`,`status`)
experience_bookings	idx_experience_bookings_review_reminder_due	site_id,review_request_sent_at,review_reminder_sent_at,review_submitted_at	0	0	retain named index	CREATE INDEX `idx_experience_bookings_review_reminder_due` ON `experience_bookings` (`site_id`,`review_request_sent_at`,`review_reminder_sent_at`,`review_submitted_at`)
experience_bookings	idx_experience_bookings_review_request_due	site_id,status,completed_at,review_request_sent_at	0	0	retain named index	CREATE INDEX `idx_experience_bookings_review_request_due` ON `experience_bookings` (`site_id`,`status`,`completed_at`,`review_request_sent_at`)
experience_bookings	idx_experience_bookings_customer_id	customer_id	0	0	retain named index	CREATE INDEX `idx_experience_bookings_customer_id` ON `experience_bookings` (`customer_id`)
experience_bookings	sqlite_autoindex_experience_bookings_1	id	1	0	retain named index	
experiences	experiences_org_site_id_unique	organization_id,site_id,id	1	0	retain named index	CREATE UNIQUE INDEX `experiences_org_site_id_unique` ON `experiences` (`organization_id`,`site_id`,`id`)
experiences	experiences_org_site_idx	organization_id,site_id	0	0	remove redundant prefix index	CREATE UNIQUE INDEX `experiences_org_site_id_unique` ON `experiences` (`organization_id`,`site_id`,`id`)
experiences	sqlite_autoindex_experiences_1	id	1	0	retain named index	
facebook_pages_connections	facebook_pages_connections_organization_id_site_id_unique	organization_id,site_id	1	0	retain named index	CREATE UNIQUE INDEX `facebook_pages_connections_organization_id_site_id_unique` ON `facebook_pages_connections` (`organization_id`,`site_id`)
facebook_pages_connections	sqlite_autoindex_facebook_pages_connections_1	id	1	0	retain named index	
google_analytics_connections	google_analytics_connections_organization_id_site_id_unique	organization_id,site_id	1	0	retain named index	CREATE UNIQUE INDEX `google_analytics_connections_organization_id_site_id_unique` ON `google_analytics_connections` (`organization_id`,`site_id`)
google_analytics_connections	sqlite_autoindex_google_analytics_connections_1	id	1	0	retain named index	
guest_thread_deliveries	guest_thread_deliveries_entry_status_idx	entry_id,status	0	0	retain named index	CREATE INDEX `guest_thread_deliveries_entry_status_idx` ON `guest_thread_deliveries` (`entry_id`,`status`)
guest_thread_deliveries	guest_thread_deliveries_provider_message_unique	provider,provider_message_id	1	1	retain named index	CREATE UNIQUE INDEX `guest_thread_deliveries_provider_message_unique` ON `guest_thread_deliveries` (`provider`,`provider_message_id`) WHERE provider_message_id IS NOT NULL
guest_thread_deliveries	sqlite_autoindex_guest_thread_deliveries_1	id	1	0	retain named index	
guest_thread_entries	guest_thread_entries_thread_sequence_unique	thread_id,sequence	1	0	retain named index	CREATE UNIQUE INDEX `guest_thread_entries_thread_sequence_unique` ON `guest_thread_entries` (`thread_id`,`sequence`)
guest_thread_entries	guest_thread_entries_dedupe_key_unique	dedupe_key	1	0	retain named index	CREATE UNIQUE INDEX `guest_thread_entries_dedupe_key_unique` ON `guest_thread_entries` (`dedupe_key`)
guest_thread_entries	guest_thread_entries_thread_occurred_idx	thread_id,occurred_at	0	0	retain named index	CREATE INDEX `guest_thread_entries_thread_occurred_idx` ON `guest_thread_entries` (`thread_id`,`occurred_at`)
guest_thread_entries	sqlite_autoindex_guest_thread_entries_1	id	1	0	retain named index	
guest_threads	guest_threads_submission_unique	submission_type,submission_id	1	0	retain named index	CREATE UNIQUE INDEX `guest_threads_submission_unique` ON `guest_threads` (`submission_type`,`submission_id`)
guest_threads	guest_threads_organization_id_idx	organization_id	0	0	retain named index	CREATE INDEX `guest_threads_organization_id_idx` ON `guest_threads` (`organization_id`)
guest_threads	guest_threads_conversation_state_idx	site_id,conversation_state,updated_at	0	0	retain named index	CREATE INDEX `guest_threads_conversation_state_idx` ON `guest_threads` (`site_id`,`conversation_state`,`updated_at`)
guest_threads	guest_threads_location_updated_idx	location_id,updated_at	0	0	retain named index	CREATE INDEX `guest_threads_location_updated_idx` ON `guest_threads` (`location_id`,`updated_at`)
guest_threads	guest_threads_site_updated_idx	site_id,updated_at	0	0	retain named index	CREATE INDEX `guest_threads_site_updated_idx` ON `guest_threads` (`site_id`,`updated_at`)
guest_threads	sqlite_autoindex_guest_threads_1	id	1	0	retain named index	
invitation	idx_invitation_org_email_pending_unique	organizationId,	1	1	retain named index	CREATE UNIQUE INDEX `idx_invitation_org_email_pending_unique` ON `invitation` (`organizationId`,lower("email")) WHERE status = 'pending'
invitation	idx_invitation_org_pending_owner	organizationId	1	1	retain named index	CREATE UNIQUE INDEX `idx_invitation_org_pending_owner` ON `invitation` (`organizationId`) WHERE role = 'owner' AND status = 'pending'
invitation	invitation_organizationId_idx	organizationId	0	0	retain named index	CREATE INDEX `invitation_organizationId_idx` ON `invitation` (`organizationId`)
invitation	sqlite_autoindex_invitation_1	id	1	0	retain named index	
jwks	sqlite_autoindex_jwks_1	id	1	0	retain named index	
location_qa	location_qa_organization_id_idx	organization_id	0	0	retain named index	CREATE INDEX `location_qa_organization_id_idx` ON `location_qa` (`organization_id`)
location_qa	idx_location_qa_page	site_id,page_path,status,sort_order	0	1	retain named index	CREATE INDEX `idx_location_qa_page` ON `location_qa` (`site_id`,`page_path`,`status`,`sort_order`) WHERE location_id IS NULL AND page_path IS NOT NULL
location_qa	idx_location_qa_site	site_id,status,sort_order	0	1	retain named index	CREATE INDEX `idx_location_qa_site` ON `location_qa` (`site_id`,`status`,`sort_order`) WHERE location_id IS NULL
location_qa	idx_location_qa_location	location_id,status,sort_order	0	0	retain named index	CREATE INDEX `idx_location_qa_location` ON `location_qa` (`location_id`,`status`,`sort_order`)
location_qa	sqlite_autoindex_location_qa_1	id	1	0	retain named index	
mcp_tool_call_events	idx_mcp_tool_call_events_unknown	unknown_tool_name,created_at	0	0	retain named index	CREATE INDEX `idx_mcp_tool_call_events_unknown` ON `mcp_tool_call_events` (`unknown_tool_name`,`created_at`)
mcp_tool_call_events	idx_mcp_tool_call_events_session	session_id_hash,created_at	0	0	retain named index	CREATE INDEX `idx_mcp_tool_call_events_session` ON `mcp_tool_call_events` (`session_id_hash`,`created_at`)
mcp_tool_call_events	idx_mcp_tool_call_events_method_created	method,created_at	0	0	retain named index	CREATE INDEX `idx_mcp_tool_call_events_method_created` ON `mcp_tool_call_events` (`method`,`created_at`)
mcp_tool_call_events	idx_mcp_tool_call_events_org	organization_id,created_at	0	0	retain named index	CREATE INDEX `idx_mcp_tool_call_events_org` ON `mcp_tool_call_events` (`organization_id`,`created_at`)
mcp_tool_call_events	idx_mcp_tool_call_events_site	site_id,created_at	0	0	retain named index	CREATE INDEX `idx_mcp_tool_call_events_site` ON `mcp_tool_call_events` (`site_id`,`created_at`)
mcp_tool_call_events	idx_mcp_tool_call_events_tool_status	tool_name,status	0	0	retain named index	CREATE INDEX `idx_mcp_tool_call_events_tool_status` ON `mcp_tool_call_events` (`tool_name`,`status`)
mcp_tool_call_events	idx_mcp_tool_call_events_created_at	created_at	0	0	retain named index	CREATE INDEX `idx_mcp_tool_call_events_created_at` ON `mcp_tool_call_events` (`created_at`)
mcp_tool_call_events	sqlite_autoindex_mcp_tool_call_events_1	id	1	0	retain named index	
mcp_workspace_preferences	sqlite_autoindex_mcp_workspace_preferences_1	user_id	1	0	retain named index	
media_assets	media_assets_org_site_id_unique	organization_id,site_id,id	1	0	retain named index	CREATE UNIQUE INDEX `media_assets_org_site_id_unique` ON `media_assets` (`organization_id`,`site_id`,`id`)
media_assets	sqlite_autoindex_media_assets_1	id	1	0	retain named index	
media_placements	media_placements_site_owner_slot_order_unique	site_id,owner_type,owner_id,slot,sort_order	1	0	retain named index	CREATE UNIQUE INDEX `media_placements_site_owner_slot_order_unique` ON `media_placements` (`site_id`,`owner_type`,`owner_id`,`slot`,`sort_order`)
media_placements	media_placements_site_owner_slot_asset_unique	site_id,owner_type,owner_id,slot,asset_id	1	0	retain named index	CREATE UNIQUE INDEX `media_placements_site_owner_slot_asset_unique` ON `media_placements` (`site_id`,`owner_type`,`owner_id`,`slot`,`asset_id`)
media_placements	media_placements_asset_idx	organization_id,site_id,asset_id	0	0	retain named index	CREATE INDEX `media_placements_asset_idx` ON `media_placements` (`organization_id`,`site_id`,`asset_id`)
media_placements	sqlite_autoindex_media_placements_1	id	1	0	retain named index	
member	member_organizationId_idx	organizationId	0	0	retain named index	CREATE INDEX `member_organizationId_idx` ON `member` (`organizationId`)
member	member_userId_organizationId_idx	userId,organizationId	0	0	retain named index	CREATE INDEX `member_userId_organizationId_idx` ON `member` (`userId`,`organizationId`)
member	sqlite_autoindex_member_1	id	1	0	retain named index	
notification_reads	notification_reads_user_read_at_idx	user_id,read_at	0	0	retain named index	CREATE INDEX `notification_reads_user_read_at_idx` ON `notification_reads` (`user_id`,`read_at`)
notification_reads	sqlite_autoindex_notification_reads_1	notification_id,user_id	1	0	retain named index	
notifications	notifications_source_entry_unique	source_entry_id	1	1	retain named index	CREATE UNIQUE INDEX `notifications_source_entry_unique` ON `notifications` (`source_entry_id`) WHERE source_entry_id IS NOT NULL
notifications	notifications_target_user_created_at_idx	target_user_id,created_at	0	0	retain named index	CREATE INDEX `notifications_target_user_created_at_idx` ON `notifications` (`target_user_id`,`created_at`)
notifications	notifications_site_created_at_idx	site_id,created_at	0	0	retain named index	CREATE INDEX `notifications_site_created_at_idx` ON `notifications` (`site_id`,`created_at`)
notifications	notifications_organization_created_at_idx	organization_id,created_at	0	0	retain named index	CREATE INDEX `notifications_organization_created_at_idx` ON `notifications` (`organization_id`,`created_at`)
notifications	notifications_scope_created_at_idx	scope,created_at	0	0	retain named index	CREATE INDEX `notifications_scope_created_at_idx` ON `notifications` (`scope`,`created_at`)
notifications	sqlite_autoindex_notifications_1	id	1	0	retain named index	
oauthAccessToken	oauthAccessToken_token_unique	token	1	0	retain named index	CREATE UNIQUE INDEX `oauthAccessToken_token_unique` ON `oauthAccessToken` (`token`)
oauthAccessToken	sqlite_autoindex_oauthAccessToken_1	id	1	0	retain named index	
oauthClient	oauthClient_clientId_unique	clientId	1	0	retain named index	CREATE UNIQUE INDEX `oauthClient_clientId_unique` ON `oauthClient` (`clientId`)
oauthClient	sqlite_autoindex_oauthClient_1	id	1	0	retain named index	
oauthClientAssertion	sqlite_autoindex_oauthClientAssertion_1	id	1	0	retain named index	
oauthClientResource	sqlite_autoindex_oauthClientResource_1	id	1	0	retain named index	
oauthConsent	oauthConsent_clientId_userId_unique	clientId,userId	1	0	retain named index	CREATE UNIQUE INDEX `oauthConsent_clientId_userId_unique` ON `oauthConsent` (`clientId`,`userId`)
oauthConsent	sqlite_autoindex_oauthConsent_1	id	1	0	retain named index	
oauthRefreshToken	oauthRefreshToken_token_unique	token	1	0	retain named index	CREATE UNIQUE INDEX `oauthRefreshToken_token_unique` ON `oauthRefreshToken` (`token`)
oauthRefreshToken	sqlite_autoindex_oauthRefreshToken_1	id	1	0	retain named index	
oauthResource	oauthResource_identifier_unique	identifier	1	0	retain named index	CREATE UNIQUE INDEX `oauthResource_identifier_unique` ON `oauthResource` (`identifier`)
oauthResource	sqlite_autoindex_oauthResource_1	id	1	0	retain named index	
offerings	offerings_organization_id_site_id_slug_unique	organization_id,site_id,slug	1	0	retain named index	CREATE UNIQUE INDEX `offerings_organization_id_site_id_slug_unique` ON `offerings` (`organization_id`,`site_id`,`slug`)
offerings	offerings_site_sort_idx	site_id,sort_order	0	0	retain named index	CREATE INDEX `offerings_site_sort_idx` ON `offerings` (`site_id`,`sort_order`)
offerings	sqlite_autoindex_offerings_1	id	1	0	retain named index	
onboarding_drafts	onboarding_drafts_user_id_idx	user_id	0	0	retain named index	CREATE INDEX `onboarding_drafts_user_id_idx` ON `onboarding_drafts` (`user_id`)
onboarding_drafts	idx_onboarding_drafts_active_user_unique	user_id	1	1	retain named index	CREATE UNIQUE INDEX `idx_onboarding_drafts_active_user_unique` ON `onboarding_drafts` (`user_id`) WHERE status = 'active'
onboarding_drafts	sqlite_autoindex_onboarding_drafts_1	id	1	0	retain named index	
organization	organization_stripeCustomerId_unique	stripeCustomerId	1	0	retain named index	CREATE UNIQUE INDEX `organization_stripeCustomerId_unique` ON `organization` (`stripeCustomerId`)
organization	organization_slug_unique	slug	1	0	retain named index	CREATE UNIQUE INDEX `organization_slug_unique` ON `organization` (`slug`)
organization	sqlite_autoindex_organization_1	id	1	0	retain named index	
organization_billing	organization_billing_stripe_subscription_id_unique	stripe_subscription_id	1	0	remove retired-field index	stripe_subscription_id
organization_billing	organization_billing_stripe_customer_id_unique	stripe_customer_id	1	0	remove retired-field index	stripe_customer_id
organization_billing	sqlite_autoindex_organization_billing_1	organization_id	1	0	retain named index	
organization_events	organization_events_site_created_idx	site_id,created_at	0	1	retain named index	CREATE INDEX `organization_events_site_created_idx` ON `organization_events` (`site_id`,`created_at`) WHERE site_id IS NOT NULL
organization_events	organization_events_location_created_idx	location_id,created_at	0	1	retain named index	CREATE INDEX `organization_events_location_created_idx` ON `organization_events` (`location_id`,`created_at`) WHERE location_id IS NOT NULL
organization_events	organization_events_org_created_idx	organization_id,created_at	0	0	retain named index	CREATE INDEX `organization_events_org_created_idx` ON `organization_events` (`organization_id`,`created_at`)
organization_events	sqlite_autoindex_organization_events_1	id	1	0	retain named index	
platform_contact_submissions	idx_platform_contact_submissions_status_created	status,created_at	0	0	remove retired-field index	status
platform_contact_submissions	sqlite_autoindex_platform_contact_submissions_1	id	1	0	retain named index	
platform_docs	platform_docs_slug_unique	slug	1	0	retain named index	CREATE UNIQUE INDEX `platform_docs_slug_unique` ON `platform_docs` (`slug`)
platform_docs	sqlite_autoindex_platform_docs_1	id	1	0	retain named index	
platform_locale_catalogs	sqlite_autoindex_platform_locale_catalogs_1	locale	1	0	retain named index	
platform_locale_messages	sqlite_autoindex_platform_locale_messages_1	locale,message_key	1	0	retain named index	
post_channel_jobs	post_channel_jobs_provider_post_idx	channel,provider_post_id	0	0	retain named index	CREATE INDEX `post_channel_jobs_provider_post_idx` ON `post_channel_jobs` (`channel`,`provider_post_id`)
post_channel_jobs	post_channel_jobs_post_channel_unique	post_id,channel	1	0	retain named index	CREATE UNIQUE INDEX `post_channel_jobs_post_channel_unique` ON `post_channel_jobs` (`post_id`,`channel`)
post_channel_jobs	sqlite_autoindex_post_channel_jobs_1	id	1	0	retain named index	
posts	posts_org_site_idx	organization_id,site_id	0	0	retain named index	CREATE INDEX `posts_org_site_idx` ON `posts` (`organization_id`,`site_id`)
posts	posts_site_slug_idx	site_id,slug	1	0	retain named index	CREATE UNIQUE INDEX `posts_site_slug_idx` ON `posts` (`site_id`,`slug`)
posts	sqlite_autoindex_posts_1	id	1	0	retain named index	
prices	prices_site_location_validity_idx	site_id,location_id,valid_from,valid_until	0	0	retain named index	CREATE INDEX `prices_site_location_validity_idx` ON `prices` (`site_id`,`location_id`,`valid_from`,`valid_until`)
prices	prices_product_validity_idx	organization_id,site_id,product_id,valid_from,valid_until	0	0	retain named index	CREATE INDEX `prices_product_validity_idx` ON `prices` (`organization_id`,`site_id`,`product_id`,`valid_from`,`valid_until`)
prices	sqlite_autoindex_prices_1	id	1	0	retain named index	
product_categories	product_categories_location_type_name_unique	site_id,location_id,product_type,name	1	0	retain named index	CREATE UNIQUE INDEX `product_categories_location_type_name_unique` ON `product_categories` (`site_id`,`location_id`,`product_type`,`name`)
product_categories	product_categories_location_type_slug_unique	site_id,location_id,product_type,slug	1	0	retain named index	CREATE UNIQUE INDEX `product_categories_location_type_slug_unique` ON `product_categories` (`site_id`,`location_id`,`product_type`,`slug`)
product_categories	product_categories_scope_id_unique	organization_id,site_id,location_id,product_type,id	1	0	retain named index	CREATE UNIQUE INDEX `product_categories_scope_id_unique` ON `product_categories` (`organization_id`,`site_id`,`location_id`,`product_type`,`id`)
product_categories	product_categories_location_type_sort_idx	site_id,location_id,product_type,sort_order	0	0	retain named index	CREATE INDEX `product_categories_location_type_sort_idx` ON `product_categories` (`site_id`,`location_id`,`product_type`,`sort_order`)
product_categories	sqlite_autoindex_product_categories_1	id	1	0	retain named index	
products	products_site_location_slug_unique	site_id,location_id,slug	1	0	retain named index	CREATE UNIQUE INDEX `products_site_location_slug_unique` ON `products` (`site_id`,`location_id`,`slug`)
products	products_scope_id_unique	organization_id,site_id,location_id,id	1	0	retain named index	CREATE UNIQUE INDEX `products_scope_id_unique` ON `products` (`organization_id`,`site_id`,`location_id`,`id`)
products	products_organization_site_idx	organization_id,site_id	0	0	remove redundant prefix index	CREATE UNIQUE INDEX `products_scope_id_unique` ON `products` (`organization_id`,`site_id`,`location_id`,`id`)
products	products_site_location_featured_sort_idx	site_id,location_id,featured,featured_sort_order	0	0	retain named index	CREATE INDEX `products_site_location_featured_sort_idx` ON `products` (`site_id`,`location_id`,`featured`,`featured_sort_order`)
products	products_site_location_visible_sort_idx	site_id,location_id,is_visible,sort_order	0	0	retain named index	CREATE INDEX `products_site_location_visible_sort_idx` ON `products` (`site_id`,`location_id`,`is_visible`,`sort_order`)
products	products_site_location_type_sort_order_idx	site_id,location_id,product_type,sort_order	0	0	retain named index	CREATE INDEX `products_site_location_type_sort_order_idx` ON `products` (`site_id`,`location_id`,`product_type`,`sort_order`)
products	products_category_sort_order_idx	category_id,sort_order	0	0	retain named index	CREATE INDEX `products_category_sort_order_idx` ON `products` (`category_id`,`sort_order`)
products	sqlite_autoindex_products_1	id	1	0	retain named index	
public_resource_cache_invalidations	public_resource_cache_invalidations_site_idx	site_id,status	0	0	retain named index	CREATE INDEX `public_resource_cache_invalidations_site_idx` ON `public_resource_cache_invalidations` (`site_id`,`status`)
public_resource_cache_invalidations	public_resource_cache_invalidations_status_idx	status,created_at	0	0	retain named index	CREATE INDEX `public_resource_cache_invalidations_status_idx` ON `public_resource_cache_invalidations` (`status`,`created_at`)
public_resource_cache_invalidations	sqlite_autoindex_public_resource_cache_invalidations_1	id	1	0	retain named index	
rate_limits	idx_rate_limits_expires	expires_at	0	0	retain named index	CREATE INDEX `idx_rate_limits_expires` ON `rate_limits` (`expires_at`)
rate_limits	sqlite_autoindex_rate_limits_1	key	1	0	retain named index	
reservation_submissions	reservation_submissions_organization_id_idx	organization_id	0	0	retain named index	CREATE INDEX `reservation_submissions_organization_id_idx` ON `reservation_submissions` (`organization_id`)
reservation_submissions	reservation_submissions_site_date_owner_slot_idx	site_id,date,location_id,time,status	0	0	retain named index	CREATE INDEX `reservation_submissions_site_date_owner_slot_idx` ON `reservation_submissions` (`site_id`,`date`,`location_id`,`time`,`status`)
reservation_submissions	idx_reservation_submissions_review_reminder_due	site_id,review_request_sent_at,review_reminder_sent_at,review_submitted_at	0	0	retain named index	CREATE INDEX `idx_reservation_submissions_review_reminder_due` ON `reservation_submissions` (`site_id`,`review_request_sent_at`,`review_reminder_sent_at`,`review_submitted_at`)
reservation_submissions	idx_reservation_submissions_review_request_due	site_id,status,completed_at,review_request_sent_at	0	0	retain named index	CREATE INDEX `idx_reservation_submissions_review_request_due` ON `reservation_submissions` (`site_id`,`status`,`completed_at`,`review_request_sent_at`)
